District_Original,District_Mapped,district_name,state_name,disruption_rate_pct,piped_water_coverage_pct,reliability_gap,mean_wvi_score,mean_cci_score,mean_idi_score,district_typology
SUB URBAN MUMBAI,MUMBAI SUBURBAN,Mumbai Suburban,Maharashtra,12.274967734182768,99.00795238102512,-11.119533800785112,16.70887162614877,68.70910150929285,7.015867020358631,High Coverage Low Disruption (Success)
SUPAUL,SUPAUL,Supaul,Bihar,12.57041191402857,0.6778542961576438,-1.0379843362525722,66.34794834821726,41.915137956244415,1.294488560892786,Low Coverage Low Disruption (Resilient)
TAMENGLONG,TAMENGLONG,Tamenglong,Manipur,25.148447007544316,45.91388305573559,9.018416396257098,51.18467543716091,41.713566067308406,3.34232095173147,Low Coverage High Disruption (Traditional Vulnerability)
TARN T>RAN,TARN TARAN,Tarn Taran,Punjab,17.40893041136846,59.6409612655033,-8.194201817343913,35.53941962641417,71.44945873666806,4.627730187430419,High Coverage High Disruption (Reliability Gap)
TAWANG,TAWANG,Tawang,Arunachal Pradesh,56.925398754590574,99.88293322663084,34.93665770892373,43.12961375896061,56.19626028584505,6.236445731094774,High Coverage High Disruption (Reliability Gap)
TH>NE,THANE,Thane,Maharashtra,21.48355950378644,95.17448031850527,-1.836982390784062,19.908718109604735,68.60959166783628,6.676623128522783,High Coverage High Disruption (Reliability Gap)
THOUB>L,THOUBAL,Thoubal,Manipur,28.561073871594804,34.12182037409472,9.3412391669819,38.99674919045164,49.57026013175822,3.91352406139184,Low Coverage High Disruption (Traditional Vulnerability)
TIR>P,TIRAP,Tirap,Arunachal Pradesh,51.53273898352722,93.04740994436112,32.35181334251507,43.85124864604661,55.1362241403235,6.078742605215181,High Coverage High Disruption (Reliability Gap)
K>MJONG,UKHRUL,Ukhrul,Manipur,26.08360559779184,44.13885775767953,9.84945673807676,49.42791636662013,39.78723320269852,3.3139819215656376,Low Coverage High Disruption (Traditional Vulnerability)
UPPER SIANG,UPPER SIANG,Upper Siang,Arunachal Pradesh,39.1730597886651,99.75374398944398,19.485113995651982,45.73214263165829,55.8743005939844,6.187214490570048,High Coverage High Disruption (Reliability Gap)
UPPER SUBANSIRI,UPPER SUBANSIRI,Upper Subansiri,Arunachal Pradesh,38.395695951128104,93.27345893620856,21.094140397003585,52.165018766681655,48.51295078347339,5.738336517287197,High Coverage High Disruption (Reliability Gap)
UTTAR DIN>JPUR,UTTAR DINAJPUR,Uttar Dinajpur,West Bengal,3.012624040872769,10.99989192524216,-14.173033655408528,51.3433561058032,45.017186319342386,1.8351788863147611,Low Coverage Low Disruption (Resilient)
UTTARK>SHI,UTTARKASHI,Uttarkashi,Uttarakhand,17.12814911457565,98.45669779062295,-5.658846477715457,37.48961433567951,55.88096761589175,6.051584975647306,High Coverage High Disruption (Reliability Gap)
VAISH>LI,VAISHALI,Vaishali,Bihar,31.640958083399944,25.451425172772847,14.70916971004804,57.885882380357806,49.057997704180785,2.7500480343283673,Low Coverage High Disruption (Traditional Vulnerability)
MULUGU,WARANGAL,,,,,,,,,
WARDHA,WARDHA,Wardha,Maharashtra,38.07648777328229,83.5119882502033,15.805126828371812,38.9676602844447,62.6569877531466,5.728119804002396,High Coverage High Disruption (Reliability Gap)
W>SH|M,WASHIM,Washim,Maharashtra,40.31739084032554,60.86895094346898,20.399121965725485,46.44342727178898,55.00320116368084,4.330340390454201,High Coverage High Disruption (Reliability Gap)
WEST KAMENG,WEST KAMENG,West Kameng,Arunachal Pradesh,42.815923718439755,98.07175859357304,19.160256869045423,39.2721357513507,61.62865684164125,6.066395960950681,High Coverage High Disruption (Reliability Gap)
LOWER SIANG,SIANG,Siang,Arunachal Pradesh,38.33899389682854,92.6452016798979,18.391308807887455,46.39707547928348,58.66019886605627,5.791137628424356,High Coverage High Disruption (Reliability Gap)
YAMUN>NAGAR,YAMUNANAGAR,Yamunanagar,Haryana,10.516136779868823,94.00302644795453,-16.575524127882503,23.038805740201603,73.77981485216738,6.201792011638833,High Coverage Low Disruption (Success)
YAVATM>L,YAVATMAL,Yavatmal,Maharashtra,31.64261165816436,58.953160497484866,11.30633685102264,45.58196849329952,56.39443244132461,4.466605404810711,High Coverage High Disruption (Reliability Gap)
DIMAPUR,DIMAPUR,Dimapur,Nagaland,14.84092435297891,54.10063743423039,-7.320937495563452,32.72639577295748,65.49410416475703,4.36546943107087,Low Coverage Low Disruption (Resilient)
KOHIMA,KOHIMA,Kohima,Nagaland,46.70514041814769,69.76345621267438,26.64020342971284,34.36590417770297,57.683583538943935,5.310724944467781,High Coverage High Disruption (Reliability Gap)
KIPHIRE,KIPHIRE,Kiphire,Nagaland,36.12922424035327,93.20483733699464,20.178235064287367,49.20194986139626,40.90327277016396,5.986460302930609,High Coverage High Disruption (Reliability Gap)
ZUNHEBOTO,ZUNHEBOTO,Zunheboto,Nagaland,17.426131430251488,89.66614830482929,-0.3552446560712852,46.82336902158016,45.98189362265864,5.877041322686594,High Coverage High Disruption (Reliability Gap)
MOKOKCHUNG,MOKOKCHUNG,Mokokchung,Nagaland,32.650033836459556,77.07499426173842,12.46106154289014,41.86544686037672,55.094739646149264,5.328497321002424,High Coverage High Disruption (Reliability Gap)
MON,MON,Mon,Nagaland,39.18592050487587,94.3521339811686,23.265866237998026,49.26820440883109,40.80141717394024,6.041371512348157,High Coverage High Disruption (Reliability Gap)
TUENSANG,TUENSANG,Tuensang,Nagaland,37.172167777723814,88.79605390338644,19.919977057931767,47.1829823386837,45.733979656545266,5.79691765628047,High Coverage High Disruption (Reliability Gap)
JAMMU,JAMMU,Jammu,Jammu & Kashmir,21.080553920981433,65.67156697251134,-6.60527812029223,19.75693620406151,75.31842725320067,4.797242640645434,High Coverage High Disruption (Reliability Gap)
LOWER SUBANSIRI,LOWER SUBANSIRI,Lower Subansiri,Arunachal Pradesh,43.54073422708731,97.30828511540156,21.83256914677793,44.14967487126116,59.18087965109834,6.022469301062988,High Coverage High Disruption (Reliability Gap)
LONGLENG,LONGLENG,Longleng,Nagaland,26.846309948401487,84.58020790888314,11.210287851610762,54.30703974962107,38.75692347246692,5.517379114168705,High Coverage High Disruption (Reliability Gap)
NONEI,TAMENGLONG,Tamenglong,Manipur,25.148447007544316,45.91388305573559,9.018416396257098,51.18467543716091,41.713566067308406,3.34232095173147,Low Coverage High Disruption (Traditional Vulnerability)
PHERZAWL,CHURACHANDPUR,Churachandpur,Manipur,20.723030595287415,21.68057693269528,0.4811224348534146,45.996558798850955,51.98344329083178,2.47991844653964,Low Coverage High Disruption (Traditional Vulnerability)
TENGNOUP>L,CHANDEL,Chandel,Manipur,21.999379198763524,37.39064238277799,2.7875610413175416,47.05242918179228,51.91877533210918,3.3808723264572116,Low Coverage High Disruption (Traditional Vulnerability)
K>NGPOKPI,SENAPATI,Senapati,Manipur,18.47215126825204,41.92318045425744,-0.9295413570910008,47.40352396934668,48.366520708957786,2.998250045982435,Low Coverage High Disruption (Traditional Vulnerability)
KAKCHING,THOUBAL,Thoubal,Manipur,28.561073871594804,34.12182037409472,9.3412391669819,38.99674919045164,49.57026013175822,3.91352406139184,Low Coverage High Disruption (Traditional Vulnerability)
CHARKHI D>DRI,CHARKHI DADRI,Charkhi Dadri,Haryana,34.901010923011704,55.414305617513435,8.085699795523638,32.034939662255375,68.84445445838907,4.004077213111136,Low Coverage High Disruption (Traditional Vulnerability)
JH>RGR>M,JHARSUGUDA,Jharsuguda,Odisha,12.558029290720452,29.903944681169257,-5.81438981550804,42.988532351056705,49.26402837917296,2.5180479712200956,Low Coverage Low Disruption (Resilient)
PASCHIM BARDDHAM>N,PASCHIM BARDHAMAN,,,,,,,,,
K>LIMPONG,DARJILING,Darjiling,West Bengal,8.817979613284145,62.002599268959514,-11.154635092884009,36.826101498873136,50.98578618319131,4.688907084789089,High Coverage Low Disruption (Success)
JOGULAMBA GADWAL,JOGULAMBA,,,,,,,,,
SIANG,SIANG,Siang,Arunachal Pradesh,38.33899389682854,92.6452016798979,18.391308807887455,46.39707547928348,58.66019886605627,5.791137628424356,High Coverage High Disruption (Reliability Gap)
WEST SIANG,WEST SIANG,West Siang,Arunachal Pradesh,47.61758384134748,98.22498670010532,26.89863450428561,40.35570462714027,59.78108247221687,6.31186593247848,High Coverage High Disruption (Reliability Gap)
SHI YOMI,LONGDING,Longding,Arunachal Pradesh,54.491012427731874,78.9073783884541,37.290825755618386,51.48272400622162,49.60904324215266,5.1608944230091875,High Coverage High Disruption (Reliability Gap)
LEPA RADA,LOWER DIBANG VALLEY,Lower Dibang Valley,Arunachal Pradesh,42.61926983658385,75.10488127865624,21.727416280020215,43.02872328596957,59.794461033737264,4.986407558154946,High Coverage High Disruption (Reliability Gap)
PAKKE KESSANG,EAST KAMENG,East Kameng,Arunachal Pradesh,38.40893817873344,93.9680222469727,20.062723715443177,49.35392820829734,51.26514183779585,5.96196694208294,High Coverage High Disruption (Reliability Gap)
KRA DAADI,KRA DAADI,Kra Daadi,Arunachal Pradesh,59.531399102878765,99.50268401029707,39.05662593992302,49.076720500042214,55.47725062292553,6.136784295616695,High Coverage High Disruption (Reliability Gap)
NAMSAI,NAMSAI,Namsai,Arunachal Pradesh,21.66157889949743,10.083418001654415,4.508340344748138,52.25426883739992,49.531084819881784,1.7697572176910543,Low Coverage High Disruption (Traditional Vulnerability)
KAMLE,UPPER SUBANSIRI,Upper Subansiri,Arunachal Pradesh,38.395695951128104,93.27345893620856,21.094140397003585,52.165018766681655,48.51295078347339,5.738336517287197,High Coverage High Disruption (Reliability Gap)
KUMURAM BHEEM,KB ASIFABAD,,,,,,,,,
MANCHERIAL,MANCHERIAL,Mancherial,Telangana,20.790918309273376,58.37545122781347,1.2131202588096528,38.93335630228228,50.45052853855037,4.429097846871448,High Coverage High Disruption (Reliability Gap)
NIRMAL,NIRMAL,Nirmal,Telangana,24.00713067335676,60.137709266872555,4.266251976263646,44.25567747133518,47.381955673450285,4.260678358235513,High Coverage High Disruption (Reliability Gap)
KAMAREDDY,KAMAREDDY,Kamareddy,Telangana,27.5161854478173,73.25030074950536,8.423491182269558,47.568238426118384,44.86979975070381,4.810429078208545,High Coverage High Disruption (Reliability Gap)
SANGAREDDY,SANGAREDDY,Sangareddy,Telangana,39.53960592665017,55.19917373407686,20.25927402042117,44.43357276115314,46.79008042567248,4.0429923933643455,Low Coverage High Disruption (Traditional Vulnerability)
NAGARKURNOOL,NAGARKURNOOL,Nagarkurnool,Telangana,19.914855144713577,72.64153947893564,-0.7904925250135797,43.32476697311167,49.1387636512989,5.067271916947237,High Coverage High Disruption (Reliability Gap)
WANAPARTHY,WANAPARTHY,Wanaparthy,Telangana,29.23162452198678,78.00890443116336,8.28890918139366,41.60785731297868,51.44687517854906,5.300133999657225,High Coverage High Disruption (Reliability Gap)
NARAYANPET,MAHABUBNAGAR,Mahabubnagar,Telangana,24.41718729069449,77.70881589045302,2.7686489670381995,39.95387077552487,53.13348625164857,5.28750466882646,High Coverage High Disruption (Reliability Gap)
VIKARABAD,VIKARABAD,Vikarabad,Telangana,45.70782871327744,81.21100653585147,25.636040512108295,43.68821763063274,48.77475828153128,5.242016913149168,High Coverage High Disruption (Reliability Gap)
MEDCHAL-MALKAJGIRI,MEDCHAL MALKANJGIRI,,,,,,,,,
