district_code,idi_slope,idi_slope_se,n_obs,n_piped
285.0,-0.006,0.0107,808,762
286.0,0.0147,0.0102,847,800
287.0,-0.0011,0.0051,752,669
288.0,0.0016,0.0062,764,667
291.0,0.0197,0.0035,702,361
914.0,0.022,0.0033,805,427
915.0,0.0179,0.0036,823,280
916.0,0.0278,0.0044,732,509
917.0,0.021,0.0027,874,344
918.0,0.0205,0.0029,826,381
919.0,0.0308,0.0041,745,422
920.0,0.0141,0.0042,894,358
295.0,-0.0159,0.003,697,391
297.0,0.0077,0.003,748,549
298.0,0.0096,0.0034,782,649
871.0,0.0013,0.0028,833,431
873.0,0.0151,0.0029,846,160
876.0,-0.0009,0.0031,834,421
877.0,0.003,0.0032,436,283
878.0,0.0097,0.0038,598,493
300.0,-0.0252,0.0227,878,51
304.0,-0.0173,0.0157,889,57
307.0,-0.013,0.0093,884,90
309.0,0.0184,0.0068,903,116
310.0,0.0212,0.0052,913,127
313.0,0.0158,0.0037,897,156
315.0,0.0359,0.0039,628,238
316.0,-0.0044,0.005,558,204
317.0,0.0071,0.0064,755,54
318.0,0.0198,0.0058,568,58
319.0,0.0079,0.011,915,73
321.0,0.0145,0.006,878,52
322.0,0.0085,0.0034,840,400
323.0,0.0159,0.0053,883,70
326.0,0.0097,0.0048,870,108
810.0,-0.0098,0.0104,841,68
811.0,0.0133,0.0041,918,152
813.0,0.0087,0.0069,894,55
814.0,0.0199,0.0033,872,343
815.0,0.0124,0.007,835,61
817.0,-0.0061,0.0106,902,53
818.0,0.018,0.004,898,272
819.0,0.0058,0.0069,873,65
820.0,0.0162,0.0077,905,52
327.0,0.0042,0.0043,844,515
328.0,0.0167,0.0043,898,328
329.0,0.0156,0.004,906,295
330.0,0.0216,0.0066,906,100
331.0,0.0051,0.0055,890,206
332.0,0.0062,0.0033,870,380
333.0,0.0008,0.0052,892,167
334.0,-0.0013,0.0044,899,238
336.0,0.0174,0.004,875,390
337.0,-0.0052,0.0073,890,417
338.0,-0.0095,0.0053,874,400
339.0,0.0117,0.0027,865,244
340.0,0.0181,0.0038,817,168
341.0,0.0035,0.006,884,365
343.0,0.0134,0.0052,882,175
344.0,0.0134,0.0031,865,399
345.0,0.0039,0.0037,773,399
931.0,0.0039,0.0046,864,719
932.0,-0.0027,0.0032,902,366
346.0,0.007,0.0046,858,166
347.0,0.0067,0.0048,821,91
348.0,0.016,0.0039,789,174
349.0,0.0141,0.0037,806,132
350.0,-0.0041,0.0052,890,152
351.0,0.0112,0.0034,772,137
352.0,0.0044,0.0034,780,168
353.0,0.0156,0.0034,796,164
354.0,0.0104,0.0037,854,389
355.0,0.0063,0.0032,862,337
356.0,0.0038,0.0034,810,408
357.0,0.0028,0.0039,897,545
358.0,0.0015,0.005,933,228
359.0,0.0129,0.0031,773,207
360.0,0.0069,0.0035,810,160
361.0,0.0017,0.0035,797,333
