hv024,state_name,n_districts,n_clusters,n_households,total_weighted_pop,disruption_rate_pct,piped_water_coverage_pct,tube_well_coverage_pct,mean_wvi_score,mean_cci_score,mean_idi_score,mean_wealth_score,pct_urban,piped_disruption_rate,tube_well_disruption_rate,reliability_gap,paradox_ratio,paradox_category,expected_disruption_pct
28.0,Andhra Pradesh,13,543,7947,20577.831065,18.072254025475452,71.57181903417478,15.94571948635054,35.958564649032475,52.05941285957592,5.253274597334245,254989.29928788132,32.95353503282344,21.527259134020767,8.820002717607535,0.20991652412823925,2.44,Strong Paradox,17.862337501347213
2.0,Himachal Pradesh,12,504,9475,3537.6745809999998,28.58249685911402,87.9022824117694,9.316083954416156,29.8600911489082,65.71412790703555,5.561468481490045,615959.6522756014,15.178000115777182,30.761364016380966,12.769366715876442,0.19436504600409776,2.41,Strong Paradox,28.388131813109922
32.0,Kerala,14,588,11857,19358.384348,22.09084281065954,32.65816888615069,6.108288247320423,26.24860610710238,71.7259360294973,3.6387275570482958,895869.8364064221,47.8469894258347,29.321110075377256,16.510558432028414,-2.090789749599981,1.78,Moderate Paradox,24.181632560259523
30.0,Goa,2,84,1849,987.193163,20.32446592217738,92.8798858587719,0.35459625645725823,23.320928266726686,77.66251914698057,6.4428550170175765,1169213.8995447853,59.65002373096865,21.313556701340744,12.8211281084401,-2.7850722202280593,1.66,Moderate Paradox,23.10953814240544
6.0,Haryana,22,877,17379,11050.538045,21.501477315623323,76.18739025842612,16.26741727578931,26.649471985115895,70.06700718694324,5.3795398835713435,898482.6706942446,34.61711074539811,23.38323127187649,13.875199902342917,-3.31794550949461,1.69,Moderate Paradox,24.819422825117933
10.0,Bihar,38,1710,35318,51224.475599,12.540783693499455,13.056963234447574,83.91907450554594,58.462840576842815,46.66685161827196,2.223258981556529,-555178.2231727082,15.550109188732234,17.62334065874441,11.797715290539477,-3.8646088997951598,1.49,Weak Paradox,16.405392593294614
37.0,Ladakh,2,84,1591,81.044333,18.286311271140946,70.78962819028939,22.798020930100073,41.34561584835438,54.7231404931204,4.776292526215251,31215.37124251488,18.244988209107724,22.43379065744421,6.103254165398391,-4.701379133751743,3.68,Strong Paradox,22.98769040489269
21.0,Odisha,30,1258,24318,21289.825538,13.945712090033943,34.35930183149441,58.938227833776615,47.68660525189544,46.55107379500996,2.587743490695391,-367125.2793924427,18.004076905930727,18.692612109699187,11.904458949897105,-6.413055070745056,1.57,Moderate Paradox,20.358767160779
25.0,Dadra & Nagar Haveli and Daman & Diu,3,126,2180,205.243516,9.76091931693472,55.81010023235032,22.070686997975617,40.21464015991566,57.962217710885135,4.885960928480683,251723.47376049627,49.50180204474766,12.680431787890853,5.9582057338833945,-6.466764238871447,2.13,Strong Paradox,16.227683555806166
4.0,Chandigarh,1,41,745,498.15423799999996,12.652541761573852,96.73811667943694,1.5263011774277027,9.132417920754415,75.97481431088931,6.919376811564936,1475474.7010850785,99.03967393327686,12.767072021502129,0.0,-7.005826589883389,inf,Strong Paradox,19.65836835145724
