district_code,district_name,state_name,disruption_rate_pct,piped_water_coverage_pct,reliability_gap,mean_wvi_score,mean_cci_score,mean_idi_score,district_typology,n_households,total_weighted_pop
819.0,Sonitpur,Assam,7.12982022593273,7.224260665774768,-10.859891223276108,49.53787888007647,48.26787167750292,1.5821317848345668,Low Coverage Low Disruption (Resilient),873,679.4737520000001
553.0,Anantapur,Andhra Pradesh,9.456486064639352,54.24214860839336,-11.045218637825576,37.02790132976503,49.555941878792645,4.950967902220114,Low Coverage Low Disruption (Resilient),557,1565.23972
328.0,Jalpaiguri,West Bengal,6.771230632053454,36.96708706994771,-11.06435338042918,45.6174555420275,46.218869979336276,3.3493328161308447,Low Coverage Low Disruption (Resilient),898,2205.279411
343.0,South Twenty Four Parganas,West Bengal,6.367095278842218,19.806363650299716,-11.092576700903031,45.355688898996924,40.69233972039306,1.7974693638828734,Low Coverage Low Disruption (Resilient),882,4390.82487
518.0,Mumbai Suburban,Maharashtra,12.274967734182768,99.00795238102512,-11.119533800785112,16.70887162614877,68.70910150929285,7.015867020358631,High Coverage Low Disruption (Success),634,5397.850262
88.0,Faridabad,Haryana,14.578247141392433,45.136333022990684,-11.135872429188288,16.220445568440446,71.96912047944079,5.264990884911369,Low Coverage Low Disruption (Resilient),670,608.634784
327.0,Darjiling,West Bengal,8.817979613284145,62.002599268959514,-11.154635092884007,36.826101498873136,50.98578618319131,4.688907084789089,High Coverage Low Disruption (Success),844,940.447502
189.0,Kushinagar,Unknown State,8.265642360968384,5.433490949324924,-11.196725147308312,50.964765278519415,54.22432728789033,1.9151704095203366,Low Coverage Low Disruption (Resilient),938,1466.604357
174.0,Kaushambi,Unknown State,5.161650568820977,8.56110094753279,-11.240950389039757,55.25464676596165,41.484904624077956,1.1890577942075082,Low Coverage Low Disruption (Resilient),898,686.7506920000001
156.0,Unnao,Unknown State,7.065806892198792,26.150470416834693,-11.241094050719518,47.13291157275585,50.166774123965546,3.049295621678887,Low Coverage Low Disruption (Resilient),970,1564.8019920000002
204.0,Purba Champaran,Bihar,4.344241171858293,4.91424876463994,-11.243872458809712,60.57539061784551,46.338877700441714,1.7034451081308244,Low Coverage Low Disruption (Resilient),932,2597.777852
242.0,West District,Sikkim,11.183289814817222,76.11646487519438,-11.303097091516477,40.29401619167412,55.1637704158936,5.1685450176045515,High Coverage Low Disruption (Success),893,63.134812
308.0,Dhemaji,Assam,5.102238251584687,3.9682283229599205,-11.31439049702681,56.06353941737884,45.99270178844262,1.3820219256690776,Low Coverage Low Disruption (Resilient),901,339.398263
201.0,Etah,Unknown State,8.378013865477348,33.18689651304122,-11.325947208931721,43.97181976720543,51.77701995093521,3.2160771006852196,Low Coverage Low Disruption (Resilient),944,816.612924
216.0,Muzaffarpur,Bihar,5.229701535859444,14.164019936622118,-11.32871158367497,57.469235270464765,49.26601180521361,2.293902979463215,Low Coverage Low Disruption (Resilient),908,2528.489515
596.0,Idukki,Kerala,13.766861677072404,35.032679903609285,-11.381964321133557,36.37722746800702,65.00227741861484,3.1197130708084266,Low Coverage Low Disruption (Resilient),799,635.983669
821.0,West Karbi Anglong,Assam,4.034524115158695,3.741025279387742,-11.387382940501627,61.54845169444609,46.34180067300982,1.435761482695731,Low Coverage Low Disruption (Resilient),702,103.92886199999998
546.0,West Godavari,Andhra Pradesh,11.914470151441689,84.95150388991928,-11.45740345986386,33.4818876642955,59.551736860941084,5.734728459170592,High Coverage Low Disruption (Success),592,1681.9463429999998
451.0,Jabalpur,Madhya Pradesh,5.236852853689037,25.964815740170945,-11.639854257255173,59.83568299882107,44.71993151410723,1.913755016946715,Low Coverage Low Disruption (Resilient),208,592.4245699999999
38.0,Hoshiarpur,Punjab,17.675167658879655,86.55585669993027,-11.658394949583208,24.074818475962637,79.63530127572812,5.776730247515466,High Coverage High Disruption (Reliability Gap),882,830.4698819999999
835.0,Surajpur,Chhattisgarh,4.690389436537665,42.405734722460735,-11.71492040221613,52.72112368764865,43.23833025076665,3.0439728484396866,Low Coverage Low Disruption (Resilient),793,282.97850700000004
175.0,Allahabad,Unknown State,7.182470089595884,16.22145760353149,-11.810440672287175,45.67637849709778,53.7053660564555,2.0041807575512616,Low Coverage Low Disruption (Resilient),836,2470.7400209999996
331.0,Dakshin Dinajpur,West Bengal,5.002122024506839,23.7613257996992,-11.83326724702544,50.50287402409564,41.31564157559587,2.243563553049826,Low Coverage Low Disruption (Resilient),890,972.1282640000002
155.0,Hardoi,Unknown State,4.624792848261299,9.3544558843111,-11.916996815184968,52.84055135474642,44.93223788403854,1.9911651202246274,Low Coverage Low Disruption (Resilient),983,1978.1646660000001
602.0,Thiruvallur,Tamil Nadu,11.797029129939926,58.01477127465476,-11.945470813873385,23.730290694215036,64.77169859080662,5.469789023728316,High Coverage Low Disruption (Success),662,1844.812627
491.0,Valsad,Gujarat,8.66637418553369,34.08150601370624,-11.985193625218692,42.039080305252305,62.59145469757032,4.0574210173504595,Low Coverage Low Disruption (Resilient),779,866.118545
148.0,Mainpuri,Unknown State,8.446972670470505,33.22427183585159,-11.989100323123512,43.510204886931945,54.920591193275754,3.1925874657474824,Low Coverage Low Disruption (Resilient),968,813.855504
844.0,South,NCT of Delhi,14.146702070068121,80.18866166816724,-11.993149514968978,9.331923979132966,74.0923080824515,6.374985386273339,High Coverage Low Disruption (Success),828,588.941151
304.0,Morigaon,Assam,5.508206614346882,7.476752728779649,-11.996170129923016,51.07199370628898,45.770802164338626,1.6556489758779467,Low Coverage Low Disruption (Resilient),889,482.690953
496.0,Dadra & Nagar Haveli,Dadra & Nagar Haveli and Daman & Diu,6.7134784851287375,51.10919730453867,-12.149448927063778,44.89993787160581,55.17354633304716,4.436667237610335,Low Coverage Low Disruption (Resilient),760,143.826215
77.0,Jind,Haryana,13.31107641847228,54.3950631394931,-12.32064209632396,32.17682260878375,65.89331059262703,3.9443260080645564,Low Coverage Low Disruption (Resilient),821,576.295805
128.0,Baran,Unknown State,8.167991601905292,66.27900948484567,-12.335070130541247,42.91998182638994,55.414707322514516,4.410837317999727,High Coverage Low Disruption (Success),935,604.2856360000001
300.0,Kokrajhar,Assam,5.352484302083868,5.899476921855264,-12.349628129938187,53.31363572184962,47.38020877682232,1.463589019747561,Low Coverage Low Disruption (Resilient),878,459.098516
